Born1,NIO,CNNB,BCNN,CNN,BCNN_mean,CNNB_mean,NIO_mean,Born1_mean,CNN_mean
0.5212679822156111,0.87788343,0.572607665639953,0.6419035320287787,0.5784162,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.967339237428545,0.47880363,0.5228437810114055,2.2282645752069627,0.9743014,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.4859441814428996,0.815161,0.42590312670465624,0.7453154119250529,0.5873328,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.8033819419033527,0.45710507,0.5511522500707764,1.1566598603315068,0.84191984,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
1.0739428160992424,0.45393813,0.4842370079670585,1.636933898390665,1.0919354,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.6921353515318708,0.6745423,0.5158580176872087,0.8704399008096048,0.70611405,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.6603167098233589,0.43559223,0.45927351981541203,0.9572737928593943,0.5371809,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.479400282696808,0.7171857,0.4990631541585784,0.7128290326310909,0.6057472,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.6021159754243491,1.0798255,0.5872228374969537,0.6304981287305308,0.67317486,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
0.9390732612408453,0.55752707,0.582998428848927,2.3650927984284746,1.0449575,1.1945210931342063,0.520115978940093,0.6547564,0.7224917739806883,0.76410806
